模型,输入尺寸,参数量 (M),GFLOPs,AP (%),AP@0.5 (%),AP@0.75 (%),AR (%)
HRNet-W48原论文,384×288,63.6,32.9,76.3,91.4,83.3,81.2
HRNet-W48微调后,384×288,63.6,32.9,78.1,93.6,84.9,80.9
完整框架严格无损,384×288,21.4,13.8,78.1,93.6,84.8,80.7
完整框架可接受损失,384×288,13.9,10.4,77.7,93.5,84.7,80.4
EEffPose‑P2 (EfficientNet),384×288,16.7,23.0,75.9,92.4,83.4,81.3
SimpleBaseline (ResNet‑50),384×288,34.0,8.9,73.1,90.0,79.9,78.3
HRNet‑W32,384×288,28.5,16.0,75.8,90.6,82.7,81.0
Lite‑HRNet‑30,384×288,1.8,0.70,69.7,90.7,77.5,75.4
MobileNetV2,256×192,9.6,1.4,64.6,87.4,72.3,70.7
HRNet-W48(PTQ-INT8),384×288,15.9,16.5,77.2,93.5,84.7,80.4
HRNet-W48(QAT-INT8),384×288,15.9,16.5,77.8,93.5,84.7,80.8
HEViTPose-B,256×192,12.0,4.5,72.6,89.0,79.5,77.5
DRP-Net-M,256×192,3.5,2.15,74.1,90.5,81.0,79.5
GTPT-B,256×192,8.3,3.6,74.9
GTPT-S,256×192,5.4,1.6,73.6
GTPT-T,256×192,2.4,0.7,71.1
